run_timestamp,filename,version,build_tag,calibration_status,calibration_failure_reason,reference_mm,calibration_color,mm_per_px,background_mean,aggregate_count,total_area_mm2,total_holes,avg_circularity,avg_relative_intensity_index,total_combined_index,total_volume_mm3,has_flagged_small_aggregate
2026-07-13T09:56:43,IMG_3158.JPG,4.5,csv-master-log,success,,10.0,RED,0.00553,11.1,0,,,,,,,
2026-07-14T14:12:21,Acetic+BSA_3.8pH_Black.JPG,4.5,csv-master-log,success,,10.0,RED,0.00546,26.4,2,2.873,41,0.221,0.459,1.424,TBD,TRUE
2026-07-14T14:13:03,Acetic+BSA_3.8pH_Black2.JPG,4.5,csv-master-log,success,,10.0,RED,0.00545,11.3,1,2.015,31,0.138,0.416,0.838,TBD,FALSE
2026-07-14T14:13:45,Acetic+BSA_3.8pH_Blue.JPG,4.5,csv-master-log,success,,10.0,RED,0.00531,32.6,1,1.990,25,0.124,0.426,0.848,TBD,FALSE
2026-07-14T14:55:08,Acetic+BSA_3.8pH_Black.JPG,4.6,lower-area-floor,success,,10.0,RED,0.00546,26.3,3,3.288,53,0.166,0.471,1.563,TBD,TRUE
2026-07-14T14:55:56,Acetic+BSA_3.8pH_Black2.JPG,4.6,lower-area-floor,success,,10.0,RED,0.00545,11.1,3,2.735,41,0.161,0.384,1.067,TBD,TRUE
2026-07-14T14:56:41,Acetic+BSA_3.8pH_Blue.JPG,4.6,lower-area-floor,success,,10.0,RED,0.00531,32.5,2,2.697,71,0.240,0.350,1.037,TBD,TRUE
2026-07-15T10:29:46,Acetic+BSA_3.8pH_Black.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00546,26.3,3,3.288,53,0.166,0.471,1.563,TBD,TRUE
2026-07-15T10:30:27,Acetic+BSA_3.8pH_Black2.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00545,11.1,3,2.735,41,0.161,0.384,1.067,TBD,TRUE
2026-07-15T10:31:15,Acetic+BSA_3.8pH_Blue.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00531,32.5,2,2.697,71,0.240,0.350,1.037,TBD,TRUE
2026-07-15T10:31:49,BSA+PBS_4.7pH_Black.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00553,11.1,0,,,,,,,
2026-07-15T13:35:51,Acetic+BSA_3.8pH_Black.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00546,26.3,3,3.288,53,0.166,0.471,1.563,TBD,TRUE
2026-07-15T13:37:17,Acetic+BSA_3.8pH_Black2.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00545,11.1,3,2.735,41,0.161,0.384,1.067,TBD,TRUE
2026-07-15T13:37:49,Acetic+BSA_3.8pH_Blue.JPG,4.7,core-recovered-visibility,success,,10.0,RED,0.00531,32.5,2,2.697,71,0.240,0.350,1.037,TBD,TRUE
